q	t	sign	prime	exponent
12421	4678	-	11	1
12421	4678	-	19	1
12421	7742	+	37	1
12421	7742	-	11	1
12421	8785	-	11	1
12451	2377	+	11	1
12451	2377	+	19	1
12451	2377	-	19	1
12451	2524	-	11	1
12451	9926	-	11	1
12457	5801	-	11	1
12457	6655	+	11	1
12497	1124	+	11	1
12497	1124	+	193	1
12497	1124	-	11	1
12497	11372	-	17	1
12497	12319	-	11	1
12539	3628	+	11	1
12539	3628	+	19	1
12539	3701	+	11	1
12539	3701	+	4283	1
12539	3701	-	41	1
12539	8837	-	11	1
12539	8910	+	37	1
12541	2926	+	11	1
12541	2926	-	11	1
12541	5101	-	11	2
12541	5101	-	19	1
12541	9614	-	499	1
12547	2784	+	11	1
12547	2784	+	31	1
12547	2784	-	11	1
12547	9762	+	11	1
12613	2821	+	11	1
12613	2821	-	19	1
12613	4877	+	379	1
12613	4877	-	11	1
12613	7735	+	11	1
12613	9791	+	19	1
12613	9791	-	11	1
12619	11024	+	41	1
12641	1957	+	11	1
12641	10683	-	11	1
12641	10683	-	41	1
12689	2064	+	11	1
12713	5796	-	11	1
12713	6916	+	11	1
12713	6916	-	17	1
12721	2721	-	11	1
12721	9999	+	11	1
12721	9999	+	19	1
12721	9999	-	11	1
12721	9999	-	19	1
12739	931	+	11	1
12757	8804	+	19	1
12757	8804	-	19	1
12781	5722	+	11	1
12781	5722	-	11	1
12781	5722	-	17	1
12781	7058	+	11	1
12781	7058	-	17	1
12809	5178	-	11	1
12809	7630	-	19	1
12823	235	+	11	1
12823	235	-	11	1
12823	12587	-	17	1
