q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
271	17	-	1643	253	16	c5bcb54048178b073b63b74ed80dab195b04dc0477de5e21a3ea8507a63b1749	1	155	31	31	1	true	false	0	0	true	0.313522328042702
271	41	+	1667	3293	20	4456f0847307911e91fb9ca3099466522b1b52281bbc9d78dc9e0922a42a9e77	1	3125	1	1	0	true	false	0	0	true	0.00000000000000
271	41	-	1667	229	15	d56a624c4e047e5410b5f956374567ec99584e0d4695e61636e8f8aed7424a39	1	85	17	17	1	false	false	0	0	true	NA
271	229	+	1855	3481	11	49ee35b4c1732e7d10fd4a3b3dce5dbf35ca38f60b31333506082d1cb00657f8	1	5	1	1	0	false	false	0	0	true	NA
271	229	-	1855	41	11	49ee35b4c1732e7d10fd4a3b3dce5dbf35ca38f60b31333506082d1cb00657f8	1	5	1	1	0	false	false	0	0	true	NA
271	253	+	1879	3505	11	49ee35b4c1732e7d10fd4a3b3dce5dbf35ca38f60b31333506082d1cb00657f8	1	5	1	1	0	true	false	0	0	true	0.00000000000000
271	253	-	1879	17	11	49ee35b4c1732e7d10fd4a3b3dce5dbf35ca38f60b31333506082d1cb00657f8	1	5	1	1	0	false	false	0	0	true	NA
283	140	+	1838	3536	16	a2b3f161b014fc9c15f778e86068092652f41ff1852aeaf68177c5d5c3ed5777	1	125	1	1	0	true	false	0	0	true	0.00000000000000
283	140	-	1838	142	13	e6bc659f92aeaf3f4817095d4772d0173114686c10228beaedea38523e027dc0	1	25	1	1	0	false	false	0	0	true	NA
283	142	+	1840	3538	13	e6bc659f92aeaf3f4817095d4772d0173114686c10228beaedea38523e027dc0	1	25	1	1	0	true	false	0	0	true	0.00000000000000
283	142	-	1840	140	13	e6bc659f92aeaf3f4817095d4772d0173114686c10228beaedea38523e027dc0	1	25	1	1	0	false	false	0	0	true	NA
293	47	+	1805	3563	13	7225656ba333ef3f0ec82fa3e8972dbffc9be72d4c8f9cf7ce9b53f570fc8984	1	25	1	1	0	true	false	0	0	true	0.00000000000000
293	47	-	1805	245	11	4bf2760986324aac5526f4634c773e6ef5e3d7de0f0f84fa9e707b84a444a245	1	5	1	1	0	false	false	0	0	true	NA
293	83	+	1841	3599	16	1a27f4b22af64203011433407d9375574d6c675d4f47030f905bc26ec6c3226f	1	125	1	1	0	true	false	0	0	true	0.00000000000000
293	83	-	1841	209	16	1a27f4b22af64203011433407d9375574d6c675d4f47030f905bc26ec6c3226f	1	125	1	1	0	false	false	0	0	true	NA
293	209	+	1967	3725	15	eef273953ce654f1ce66ab992490d21ea3ab579e3b7ca11068be93e90a763b1c	1	95	19	19	1	true	false	0	0	true	0.260779973007596
293	209	-	1967	83	16	1a27f4b22af64203011433407d9375574d6c675d4f47030f905bc26ec6c3226f	1	125	1	1	0	false	false	0	0	true	NA
293	245	+	2003	3761	20	b26e737171d6e2d991aa7e7585d5472691666d224f66c9ff41719287aca6e764	1	2375	19	19	1	false	false	0	0	true	NA
293	245	-	2003	47	11	4bf2760986324aac5526f4634c773e6ef5e3d7de0f0f84fa9e707b84a444a245	1	5	1	1	0	false	false	0	0	true	NA
307	86	+	1928	3770	13	c5ff08afa924c03466a96e2392bd3e6fb2f2f1ac575f8bf04b727c38a835a556	1	25	1	1	0	true	false	0	0	true	0.00000000000000
307	86	-	1928	220	13	c5ff08afa924c03466a96e2392bd3e6fb2f2f1ac575f8bf04b727c38a835a556	1	25	1	1	0	false	false	0	0	true	NA
307	220	+	2062	3904	18	f9be947cd2e23c2e534ee7986e9abf4e1a7863d22787ea976bcad3b128e85fe6	1	475	19	19	1	false	false	0	0	true	NA
307	220	-	2062	86	18	f9be947cd2e23c2e534ee7986e9abf4e1a7863d22787ea976bcad3b128e85fe6	1	475	19	19	1	false	false	0	0	true	NA
331	109	+	2095	4081	16	4e4132b267dd1505333269a0fd0405d28cc202f2bf1e9a060736657b5b56237d	1	125	1	1	0	true	false	0	0	true	0.00000000000000
331	109	-	2095	221	16	4e4132b267dd1505333269a0fd0405d28cc202f2bf1e9a060736657b5b56237d	1	125	1	1	0	false	false	0	0	true	NA
331	221	+	2207	4193	18	72b8d8b67e09022b43b26f82bc3a575d7b8cacfa77a906dd7df76c5394eca006	1	625	1	1	0	true	false	0	0	true	0.00000000000000
331	221	-	2207	109	11	74584b1cdb174152e79baf5c8450f2b1e492e1441ba5a2dc4b0a9e2d4bcb956d	1	5	1	1	0	false	false	0	0	true	NA
347	118	+	2200	4282	16	69f81a08b74ea5358ed88dfb4d9cdb4836c2e3a2e01013300dc41e84b28e9469	1	125	1	1	0	true	false	0	0	true	0.00000000000000
347	118	-	2200	228	14	2e80599ac84c7e2ca52d651522f1a49c40eb31958159e39526ee09bdbe487601	1	25	1	1	0	false	false	0	0	true	NA
347	228	+	2310	4392	14	2e80599ac84c7e2ca52d651522f1a49c40eb31958159e39526ee09bdbe487601	1	25	1	1	0	true	false	0	0	true	0.00000000000000
347	228	-	2310	118	14	2e80599ac84c7e2ca52d651522f1a49c40eb31958159e39526ee09bdbe487601	1	25	1	1	0	false	false	0	0	true	NA
367	182	+	2384	4586	14	55b28455199f3afefe9723ef68275df416543984cce370fa34392e7662b33c1d	1	25	1	1	0	true	false	0	0	true	0.00000000000000
367	182	-	2384	184	14	55b28455199f3afefe9723ef68275df416543984cce370fa34392e7662b33c1d	1	25	1	1	0	false	false	0	0	true	NA
367	184	+	2386	4588	18	4a06fd2c691edac13d3cd050f77ffcd37a69ceb1038880fd010bc98297cf1f51	1	625	1	1	0	true	false	0	0	true	0.00000000000000
367	184	-	2386	182	16	9531b7753dc0591b4a0b1cbd50e424145940a6b45952d5c8aa9fad9d4b75ce24	1	125	1	1	0	false	false	0	0	true	NA
379	85	+	2359	4633	19	2c35c56c2843dd0ad4fe1dbf66dc27574c21044a9f15d6e6c98c5769869b2482	1	1375	11	11	1	true	false	0	0	true	0.204971972236781
379	85	-	2359	293	20	59b984eb466017b6b0cd19e264365b22e614e4a7951f529f00c60a828b207d87	1	2375	19	19	1	false	false	0	0	true	NA
379	152	+	2426	4700	14	b184d29a1c103b5269165d679d2460bdc54ed484d57a4716800bfba78ae036ff	1	25	1	1	0	true	false	0	0	true	0.00000000000000
379	152	-	2426	226	14	b184d29a1c103b5269165d679d2460bdc54ed484d57a4716800bfba78ae036ff	1	25	1	1	0	false	false	0	0	true	NA
379	171	+	2445	4719	11	c3c9d3e7db5395f5165f2026fb7dfc2cc062f00d2e9bd977084985dfa00cf775	1	5	1	1	0	true	false	0	0	true	0.00000000000000
379	171	-	2445	207	11	c3c9d3e7db5395f5165f2026fb7dfc2cc062f00d2e9bd977084985dfa00cf775	1	5	1	1	0	false	false	0	0	true	NA
379	207	+	2481	4755	16	1d37fcffbae32cbdf0832b07241fc8614c2ce125e95649b1cfbcbebc143ca0d2	1	125	1	1	0	true	false	0	0	true	0.00000000000000
379	207	-	2481	171	16	1d37fcffbae32cbdf0832b07241fc8614c2ce125e95649b1cfbcbebc143ca0d2	1	125	1	1	0	false	false	0	0	true	NA
379	226	+	2500	4774	9	a545038a68a9ef9762a5e283ef82364e43b2a4f291353de5f4746e4d7e9b86d9	1	1	1	1	0	true	false	0	0	true	0.00000000000000
379	226	-	2500	152	9	a545038a68a9ef9762a5e283ef82364e43b2a4f291353de5f4746e4d7e9b86d9	1	1	1	1	0	false	false	0	0	true	NA
379	293	+	2567	4841	14	b184d29a1c103b5269165d679d2460bdc54ed484d57a4716800bfba78ae036ff	1	25	1	1	0	true	false	0	0	true	0.00000000000000
379	293	-	2567	85	11	c3c9d3e7db5395f5165f2026fb7dfc2cc062f00d2e9bd977084985dfa00cf775	1	5	1	1	0	false	false	0	0	true	NA
