p,Z,cloud_size,pencil_line_count,vertical_line_count,slope_zero_count,max_line,max_nonzero_line,line_energy,nonzero_line_energy,random_raw_energy,raw_energy_ratio,forced_diagonal_prediction,forced_diagonal_ratio,random_nonzero_energy,nonzero_energy_ratio,line_count_distribution,pencil_line_count_distribution,nonzero_line_distribution
271,4,16,272,0,4,4,1,28,12,16.8856088561,1.65821678322,28.4907063197,0.982776617954,12.4907063197,0.960714285714,"{""0"": 258, ""1"": 12, ""4"": 1}","{""0"": 259, ""1"": 12, ""4"": 1}","{""0"": 258, ""1"": 12}"
283,2,4,284,0,2,2,1,6,2,4.04240282686,1.48426573427,6.00711743772,0.998815165877,2.00711743772,0.996453900709,"{""0"": 280, ""1"": 2, ""2"": 1}","{""0"": 281, ""1"": 2, ""2"": 1}","{""0"": 280, ""1"": 2}"
293,4,16,294,0,4,4,1,28,12,16.819112628,1.66477272727,28.4536082474,0.984057971014,12.4536082474,0.96357615894,"{""0"": 280, ""1"": 12, ""4"": 1}","{""0"": 281, ""1"": 12, ""4"": 1}","{""0"": 280, ""1"": 12}"
307,2,4,308,0,2,2,1,6,2,4.03908794788,1.48548387097,6.00655737705,0.998908296943,2.00655737705,0.996732026144,"{""0"": 304, ""1"": 2, ""2"": 1}","{""0"": 305, ""1"": 2, ""2"": 1}","{""0"": 304, ""1"": 2}"
331,2,4,332,0,2,2,1,6,2,4.03625377644,1.48652694611,6.00607902736,0.998987854251,2.00607902736,0.99696969697,"{""0"": 328, ""1"": 2, ""2"": 1}","{""0"": 329, ""1"": 2, ""2"": 1}","{""0"": 328, ""1"": 2}"
347,2,4,348,0,2,2,1,6,2,4.03458213256,1.48714285714,6.00579710145,0.999034749035,2.00579710145,0.99710982659,"{""0"": 344, ""1"": 2, ""2"": 1}","{""0"": 345, ""1"": 2, ""2"": 1}","{""0"": 344, ""1"": 2}"
367,2,4,368,0,2,2,1,6,2,4.03269754768,1.48783783784,6.00547945205,0.999087591241,2.00547945205,0.997267759563,"{""0"": 364, ""1"": 2, ""2"": 1}","{""0"": 365, ""1"": 2, ""2"": 1}","{""0"": 364, ""1"": 2}"
379,6,36,380,0,6,6,1,66,30,39.3245382586,1.67834138486,68.3076923077,0.966216216216,32.3076923077,0.928571428571,"{""0"": 348, ""1"": 30, ""6"": 1}","{""0"": 349, ""1"": 30, ""6"": 1}","{""0"": 348, ""1"": 30}"
419,2,4,420,0,2,2,1,6,2,4.02863961814,1.48933649289,6.00479616307,0.999201277955,2.00479616307,0.997607655502,"{""0"": 416, ""1"": 2, ""2"": 1}","{""0"": 417, ""1"": 2, ""2"": 1}","{""0"": 416, ""1"": 2}"
431,2,4,432,0,2,2,1,6,2,4.02784222738,1.48963133641,6.00466200466,0.999223602484,2.00466200466,0.997674418605,"{""0"": 428, ""1"": 2, ""2"": 1}","{""0"": 429, ""1"": 2, ""2"": 1}","{""0"": 428, ""1"": 2}"
433,2,4,434,0,2,2,1,6,2,4.02771362587,1.48967889908,6.00464037123,0.999227202473,2.00464037123,0.997685185185,"{""0"": 430, ""1"": 2, ""2"": 1}","{""0"": 431, ""1"": 2, ""2"": 1}","{""0"": 430, ""1"": 2}"
