p,zp_size
19727,0
19739,2
19751,4
19753,0
19759,0
19763,0
19777,0
19793,0
19801,2
19813,0
19819,0
19841,0
19843,2
19853,2
19861,2
19867,0
19889,0
19891,2
19913,4
19919,2
19927,4
19937,2
19949,4
19961,0
19963,0
19973,0
19979,0
19991,0
19993,0
19997,0
20011,0
20021,2
20023,2
20029,0
20047,0
20051,0
20063,0
20071,0
20089,0
20101,0
20107,2
20113,2
20117,0
20123,0
20129,0
20143,0
20147,0
20149,0
20161,0
20173,2
20177,6
20183,4
20201,2
20219,0
20231,2
20233,2
20249,0
20261,0
20269,0
20287,2
20297,0
20323,2
20327,2
20333,4
20341,2
20347,2
20353,2
20357,4
20359,0
20369,0
20389,2
20393,0
20399,0
20407,0
20411,2
20431,2
20441,0
20443,0
20477,2
20479,0
20483,2
20507,4
20509,2
20521,4
20533,4
20543,2
20549,0
20551,0
20563,0
20593,0
20599,0
20611,0
20627,0
20639,0
20641,2
20663,0
20681,2
20693,2
20707,4
20717,0
20719,2
20731,0
20743,0
20747,0
20749,0
20753,2
20759,0
20771,0
20773,0
20789,4
20807,0
20809,0
20849,0
20857,2
20873,0
20879,0
20887,0
20897,0
20899,0
20903,2
20921,0
20929,4
20939,0
20947,0
20959,2
20963,0
20981,0
20983,0
21001,0
21011,0
21013,2
21017,2
21019,0
21023,4
21031,0
21059,0
21061,0
21067,0
21089,2
21101,0
21107,0
21121,2
21139,4
21143,0
21149,0
21157,2
21163,2
21169,0
21179,2
21187,0
21191,0
21193,0
21211,0
21221,0
21227,4
21247,0
21269,0
21277,0
21283,2
21313,0
21317,0
21319,0
21323,0
21341,0
21347,2
21377,2
21379,0
21383,0
21391,0
21397,0
21401,0
21407,0
21419,0
21433,2
21467,4
21481,6
21487,2
21491,2
21493,0
21499,0
21503,0
21517,0
21521,2
21523,2
21529,0
21557,2
21559,2
21563,0
21569,0
21577,0
21587,0
21589,0
21599,2
21601,0
21611,2
21613,0
21617,0
21647,2
21649,2
21661,0
21673,0
21683,2
21701,0
21713,0
21727,6
21737,4
21739,0
21751,2
21757,0
21767,2
21773,0
21787,0
21799,0
21803,0
21817,0
21821,0
21839,0
21841,2
21851,0
21859,4
21863,0
21871,0
21881,4
21893,2
21911,2
21929,0
21937,0
21943,0
21961,2
21977,0
21991,0
21997,4
22003,4
22013,2
22027,4
22031,2
22037,2
22039,4
22051,0
22063,2
22067,2
22073,0
22079,2
22091,0
22093,0
22109,2
22111,0
22123,2
22129,0
22133,0
22147,2
22153,2
22157,4
22159,0
22171,4
22189,0
22193,0
22229,0
22247,4
22259,0
22271,0
22273,0
22277,0
22279,0
22283,0
22291,0
22303,4
22307,2
22343,0
22349,0
22367,0
22369,2
22381,0
22391,4
22397,0
22409,0
22433,0
22441,2
22447,0
22453,2
22469,0
22481,0
22483,0
22501,2
22511,0
22531,0
22541,0
22543,0
22549,2
22567,0
22571,2
22573,2
22613,0
22619,2
22621,0
22637,4
22639,2
22643,0
22651,2
22669,0
22679,0
22691,2
22697,4
22699,2
22709,2
22717,2
22721,2
22727,0
22739,0
22741,0
22751,0
22769,2
22777,0
22783,0
22787,0
22807,0
22811,2
22817,2
22853,0
22859,0
22861,0
22871,2
22877,0
22901,0
22907,0
22921,2
22937,0
22943,2
22961,2
22963,0
22973,0
22993,0
23003,2
23011,0
23017,0
23021,2
23027,2
23029,0
23039,2
23041,0
23053,0
23057,0
23059,0
23063,2
23071,2
23081,2
23087,2
23099,0
23117,0
23131,4
23143,2
23159,0
23167,0
23173,2
23189,0
23197,2
23201,0
