q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
15671	63	+	94089	188115	17	f62ddcd3367d75078a1974cead13a9aa0be16211ec899fa0059ee8342a8c0bdd	1	5	1	1	0	true	false	0	0	true	0.00000000000000
15671	63	-	94089	15607	17	f62ddcd3367d75078a1974cead13a9aa0be16211ec899fa0059ee8342a8c0bdd	1	5	1	1	0	true	true	0	0	true	0.00000000000000
15671	15607	+	109633	203659	25	680d9fbc75c0794ef96f1079184b0cd79c95be630309caaef9f43a11ee65bcee	1	1375	11	11	1	false	false	0	0	true	NA
15671	15607	-	109633	63	23	57007be7ea2ec68970454a1a38b57d8e0cf2f167b8bd5350fe7ba9b990cc4757	1	275	11	11	1	false	false	0	0	true	NA
15683	1282	+	95380	189478	24	4cfba3082d54740874c62d59e584727ebaa2003b8db7bf8796a2b20522858e5d	1	1025	41	41	1	true	false	0	0	true	0.195044475242909
15683	1282	-	95380	14400	19	22d56993c5f61ec17f568463ec1d55731085bee06ce357f3a264f8aa06c3f86e	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15683	2402	+	96500	190598	19	22d56993c5f61ec17f568463ec1d55731085bee06ce357f3a264f8aa06c3f86e	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15683	2402	-	96500	13280	19	22d56993c5f61ec17f568463ec1d55731085bee06ce357f3a264f8aa06c3f86e	1	25	1	1	0	false	false	0	0	true	NA
15683	13280	+	107378	201476	26	170436ddc76698c8882f33922a84c6f2b9117576e3b8bd8f4a2ef260bd10710c	1	2375	19	19	1	true	false	0	0	true	0.152738788395566
15683	13280	-	107378	2402	23	058984caec5cc1ebf42b0c796549ca0f91c08e0a4ec8a47c5f0b2f8d5b8a6f7b	1	475	19	19	1	false	false	0	0	true	NA
15683	14400	+	108498	202596	33	0f8f129c89c2f22fb1ec37cc42ed62cee5d68adb0e42422a5c8c4e8bcd499d07	1	532475	21299	19^2*59	2	true	false	0	0	true	0.516431788741894
15683	14400	-	108498	1282	23	058984caec5cc1ebf42b0c796549ca0f91c08e0a4ec8a47c5f0b2f8d5b8a6f7b	1	475	19	19	1	false	false	0	0	true	NA
15727	3885	+	98247	192609	21	f8d18440604a49e804fcf0aeefb3c72e829f93db4423b8b07ce48efb82167185	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15727	3885	-	98247	11841	21	f8d18440604a49e804fcf0aeefb3c72e829f93db4423b8b07ce48efb82167185	1	125	1	1	0	false	false	0	0	true	NA
15727	5804	+	100166	194528	26	d1a3954ef98ca420f8c8f980c7f7f83035bd09859cbccc99532d588c5594a40a	1	3125	1	1	0	true	false	0	0	true	0.00000000000000
15727	5804	-	100166	9922	23	21236b3d86f186dd1ccdf57c950d538a063dfe3642a2a8485d99c20cd9672c9f	1	475	19	19	1	false	false	0	0	true	NA
15727	9922	+	104284	198646	29	aea33cee7863bf87a436ad8f664df81631149b6efb7c41e338dea9818f33d07f	1	24125	193	193	1	true	false	0	0	true	0.273794452048709
15727	9922	-	104284	5804	31	e2fa63a21bab9462f6373ffad1b507940f65bf54e4287a3a6b43b2d12d30819e	1	82025	3281	17*193	2	false	false	0	0	true	NA
15727	11841	+	106203	200565	24	4c9b7e5095df1b1700c798945ec2cdd3981dfe600959e42b3701a6facdad5ebe	1	625	1	1	0	true	false	0	0	true	0.00000000000000
15727	11841	-	106203	3885	21	f8d18440604a49e804fcf0aeefb3c72e829f93db4423b8b07ce48efb82167185	1	125	1	1	0	false	false	0	0	true	NA
15737	4123	+	98545	192967	28	7a35317e87ceead68e2803f842ece956fab90a49daef90850e4fcee9462b9f2e	1	15625	1	1	0	true	false	0	0	true	0.00000000000000
15737	4123	-	98545	11613	30	5eba731a2258811d67eadb50698ad3ceedffb0168836075f4ea9356aedc75f74	1	53125	17	17	1	false	false	0	0	true	NA
15737	7598	+	102020	196442	21	e65327ddfecdc0c0f38dd16a1c375408c71903db1fd3c0fe1de4e77c1d94791f	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15737	7598	-	102020	8138	24	07b801fdd52425e5447817a0e113055ad933b440e1e53f85c546583d870a0ce1	1	625	1	1	0	false	false	0	0	true	NA
15737	8138	+	102560	196982	28	4d533c5c596f5059be947fede149b4ca05b60c849d4e491b7bb877515eb22eb4	1	13175	31	31	1	true	false	0	0	true	0.178995197835907
15737	8138	-	102560	7598	19	42f683e77907048fb63b71fbf854dc292d38ecaccf5c82f3ee2ecb031fe382d3	1	25	1	1	0	false	false	0	0	true	NA
