sign,q,t,p,r,a_plus,a_minus,raw_plus,raw_minus,Zq,selected,nearest_zero,linear,cyclic,scaled_A
+,2091889,1079340,1949341,1934628,840575,-1,1,0,0,0,-1,-1,-1,-1
+,2094637,808608,1973687,1534308,286321,-1,1,0,0,0,-1,-1,-1,-1
+,2094637,961665,1973687,1687365,439378,-1,1,0,0,0,-1,-1,-1,-1
+,2106353,125574,1880573,1480254,954361,-1,1,0,4,0,919047,793473,793473,3.01364
+,2110099,421093,1956881,1340401,302828,-1,1,0,2,0,207164,213929,213929,0.811067
+,2110099,734744,1956881,1654052,616479,-1,1,0,2,0,207164,527580,527580,2.00021
-,2114393,23994,1828319,1740438,-1,262079,0,1,0,0,-1,-1,-1,-1
-,2122961,10897,1893193,1389505,-1,218870,0,1,0,0,-1,-1,-1,-1
-,2135719,36720,1882229,1557660,-1,216769,0,1,2,0,100108,63388,63388,0.11872
+,2137999,401636,1924799,1680836,1035237,-1,1,0,0,0,-1,-1,-1,-1
+,2146357,596499,2018629,1362867,110606,-1,1,0,0,0,-1,-1,-1,-1
+,2146357,1141654,2018629,1908022,655761,-1,1,0,0,0,-1,-1,-1,-1
+,2150719,14884,1865863,1724020,1567293,-1,1,0,0,0,-1,-1,-1,-1
+,2151251,302043,1915663,1715571,1213436,-1,1,0,0,0,-1,-1,-1,-1
+,2151791,140801,1869191,1836401,1662810,-1,1,0,0,0,-1,-1,-1,-1
+,2155661,2041711,2146523,2096539,4844,-1,1,0,2,0,2123800,82089,82089,0.304645
+,2155661,2086850,2146523,2141678,49983,-1,1,0,2,0,2123800,36950,36950,0.137127
+,2169031,144941,1952729,1442753,787836,-1,1,0,0,0,-1,-1,-1,-1
+,2173529,912711,1995073,1983447,1059110,-1,1,0,0,0,-1,-1,-1,-1
+,2175947,439047,1973033,1656531,900982,-1,1,0,0,0,-1,-1,-1,-1
-,2179241,228849,1942027,1652133,-1,8364,0,1,0,0,-1,-1,-1,-1
+,2184331,442806,1954427,1822230,1247227,-1,1,0,2,0,253608,189198,189198,0.346464
+,2184361,632588,2045669,1464740,251223,-1,1,0,0,0,-1,-1,-1,-1
+,2184361,962293,2045669,1794445,580928,-1,1,0,0,0,-1,-1,-1,-1
-,2195243,158371,1922519,1794715,-1,114352,0,1,0,0,-1,-1,-1,-1
