rank,q,t,p,sign,type,zq_size,nearest_zero,linear_distance,cyclic_distance,normalized_distance,zp_size,x,y,h
215,9920111,3113222,9144259,+,P,2,3740096,626874,626874,0.063192236457838016,6,1375924,5865071,4489147
216,7549799,1835147,6852739,+,P,4,1356967,478180,478180,0.063336785522369529,4,835231,3505610,2670379
217,5010041,291325,4676369,-,M+,2,612484,321159,321159,0.064103068218403808,4,42346,2383011,2340665
218,2245043,623138,2083847,+,P,4,479091,144047,144047,0.064162245444742042,4,493532,1610203,1116671
219,8147813,109192,7625363,-,M+,4,642209,533017,533017,0.065418413505562781,6,413257,4381470,3968213
220,6949297,2692149,6530947,+,P,2,3148727,456578,456578,0.065701322018615699,4,1328697,5349544,4020847
221,6729487,953998,5993201,+,P,2,504349,449649,449649,0.066817723252901751,4,621486,2196971,1575485
222,3494807,1364422,3317231,+,P,2,1598149,233727,233727,0.066878371251974711,4,887352,3139127,2251775
223,2084287,1520750,2025211,+,P,4,1660989,140239,140239,0.067283920112729198,4,150004,1820759,1670755
224,5827937,634562,5397493,+,P,4,241421,393141,393141,0.067458004436218175,6,2180266,4995095,2814829
225,3333257,987307,3027457,+,P,4,1212845,225538,225538,0.067662949481543125,4,205349,1398006,1192657
226,2326963,835842,2190653,+,P,4,678338,157504,157504,0.067686508122389563,4,536950,1909743,1372793
227,7528021,4296833,7133843,+,P,4,3785918,510915,510915,0.067868434479659401,10,471941,5240716,4768775
228,1027883,443197,960077,+,P,4,372928,70269,70269,0.068362838961243649,4,110043,663284,553241
229,3180337,256509,2791681,+,P,2,39025,217484,217484,0.068383947990417374,6,203235,662980,459745
230,3230797,1670584,3033913,+,P,4,1891850,221266,221266,0.068486506580264866,4,182024,2034633,1852609
231,5226647,1185424,4725431,+,P,2,826986,358438,358438,0.068578957025412279,4,532710,2250845,1718135
232,5528779,1233689,5093519,+,P,2,852517,381172,381172,0.068943251303768882,6,1248269,3730228,2481959
233,8052601,1095212,7370609,+,P,2,538852,556360,556360,0.069090719880446086,6,2183444,5462101,3278657
234,1362407,787421,1315451,+,P,4,692579,94842,94842,0.069613558943839832,4,246293,1280008,1033715
235,2891257,1838727,2787559,+,P,2,2040126,201399,201399,0.069657937706679135,4,326643,2492014,2165371
236,6684449,547986,6060037,+,P,6,81733,466253,466253,0.06975189727679873,6,1765578,4079143,2313565
237,9719761,6878636,9380131,+,P,2,6191819,686817,686817,0.070661922654271028,4,463714,7806065,7342351
238,9142633,809126,8003273,+,P,4,162223,646903,646903,0.070756750270955862,4,357986,1525099,1167113
239,7366607,1239837,6838241,+,P,4,1762851,523014,523014,0.070997950616885089,6,2428207,6096252,3668045
240,5171801,1761758,4880021,+,P,4,2133393,371635,371635,0.071857946583791604,8,1367582,4496923,3129341
241,6697051,18042,6198911,-,M+,2,500968,482926,482926,0.072110246733972913,4,480097,3192028,2711931
242,2245043,643027,2083847,+,P,4,479091,163936,163936,0.073021318522629636,4,473643,1590314,1116671
243,5189357,1409164,4725431,+,P,4,1789134,379970,379970,0.073221017555739565,4,532710,2474585,1941875
244,7973149,1398450,7215821,+,P,2,1983475,585025,585025,0.073374396991703034,4,1273402,3945255,2671853
245,3951481,966588,3661501,+,P,2,674547,292041,292041,0.073906720037373336,4,955032,2876653,1921621
246,1679417,19781,1485763,+,P,2,143921,124140,124140,0.073918508625314613,6,304057,627896,323839
247,4105093,593493,3655793,+,P,2,899094,305601,305601,0.074444354853836436,4,366499,1326492,959993
248,1196537,261505,1116491,+,P,2,350769,89264,89264,0.074601955476512632,6,374709,1010924,636215
249,1362407,998272,1315451,+,P,4,1100251,101979,101979,0.074852081646673868,4,35442,1069157,1033715
250,8743103,998993,7637659,-,M-,2,1656003,657010,657010,0.075146089437582969,6,6001,106450,100449
251,5767409,4713654,5684641,+,P,2,5147599,433945,433945,0.075240892400729689,6,474378,5662411,5188033
252,3708073,232504,3251173,+,P,2,513053,280549,280549,0.075658974351367952,6,277268,787041,509773
253,1840351,522358,1736213,+,P,2,661636,139278,139278,0.075680128410286956,4,589026,1700411,1111385
254,9073663,1861183,8227379,+,P,2,2558991,697808,697808,0.076904773739117263,4,1288491,4438166,3149675
255,2848121,942361,2597041,+,P,2,1161520,219159,219159,0.07694862683151453,4,148199,1238760,1090561
256,8483381,1597479,7571491,+,P,2,943692,653787,653787,0.077066796834894008,4,502671,2602822,2100151
257,3679999,911211,3296287,+,P,2,627433,283778,283778,0.077113607911306503,4,82803,1076818,994015
258,2789441,383132,2557561,+,P,2,599136,216004,216004,0.077436303546122687,4,783148,1949429,1166281
259,6991013,2414903,6592609,+,P,2,1859400,555503,555503,0.079459586185864628,4,1787281,5989466,4202185
260,4981393,916657,4501829,+,P,4,1312840,396183,396183,0.079532572515358654,6,707787,2332232,1624445
261,7750987,1866985,7017203,+,P,2,2483964,616979,616979,0.079600056096081701,4,747513,3362012,2614499
262,8862079,764881,7799299,-,M+,4,54638,710243,710243,0.080144061004195521,4,297898,657737,359839
263,4700039,1262809,4363069,+,P,2,885180,377629,377629,0.080345929044418563,4,1078439,3419688,2341249
264,7137517,2847982,6565093,+,P,4,3424098,576116,576116,0.080716585333527047,6,282566,3413115,3130549
265,5329967,4017315,5198287,+,P,2,4448139,430824,430824,0.080830519213345969,4,390891,4799098,4408207
266,1829143,648312,1664909,+,P,2,796832,148520,148520,0.081196494751913872,4,31192,710697,679505
267,7624769,738180,6653389,+,P,2,117802,620378,620378,0.081363514094656503,4,86928,912037,825109
268,4393063,3392833,4307437,+,P,2,3751153,358320,358320,0.081564958207974714,4,400847,4194528,3793681
269,5329967,4009018,5198287,+,P,2,4448139,439121,439121,0.08238718926402358,4,399188,4807395,4408207
