q,occurrences,plus_occurrences,minus_occurrences,unique_Aq,zq_size,selected_occurrences,selected_digits,min_linear_distance,min_cyclic_distance,min_normalized_distance,heuristic_AZ_over_q,max_K_premark,max_K_selected
2473609,2,2,0,2,0,0,0,-1,-1,,0,1,0
2489717,1,0,1,1,0,0,0,-1,-1,,0,1,0
2501999,1,1,0,1,0,0,0,-1,-1,,0,1,0
2504657,2,2,0,2,0,0,0,-1,-1,,0,1,0
2511323,2,2,0,2,2,0,0,447968,447968,0.17837928454444132,1.5927859538577873e-06,1,0
2511389,1,1,0,1,2,0,0,220112,220112,0.087645522059704814,7.963720475004071e-07,1,0
2513689,2,2,0,2,0,0,0,-1,-1,,0,1,0
2516413,2,2,0,2,2,0,0,592371,592371,0.23540293266645818,1.589564193159072e-06,1,0
2518309,1,1,0,1,0,0,0,-1,-1,,0,1,0
2520367,1,1,0,1,2,0,0,306758,306758,0.12171163961438949,7.9353522721095779e-07,1,0
2522473,1,0,1,1,2,0,0,678225,678225,0.26887304641120041,7.9287270864742652e-07,1,0
2531017,2,2,0,2,0,0,0,-1,-1,,0,1,0
2540663,1,0,1,1,2,0,0,597773,597773,0.23528228655276201,7.8719609802638125e-07,1,0
2541281,1,0,1,1,0,0,0,-1,-1,,0,1,0
2549647,1,0,1,1,0,0,0,-1,-1,,0,1,0
2555191,1,0,1,1,4,0,0,54325,54325,0.021260641572391263,1.565440704824023e-06,1,0
2556091,1,1,0,1,4,0,0,404963,404963,0.15843058795637557,1.5648895129320512e-06,1,0
2566171,1,0,1,1,0,0,0,-1,-1,,0,1,0
2570137,1,1,0,1,2,0,0,1033788,1033788,0.40223069820791657,7.7816863459029616e-07,1,0
2577049,1,1,0,1,2,0,0,794089,794089,0.30813888288503632,7.7608147924234271e-07,1,0
2579741,1,0,1,1,0,0,0,-1,-1,,0,1,0
2585777,1,1,0,1,0,0,0,-1,-1,,0,1,0
2595937,1,0,1,1,4,0,0,36373,36373,0.014011511065176081,1.5408694432877222e-06,1,0
2597663,1,0,1,1,2,0,0,930007,930007,0.35801680202551295,7.6992281138854426e-07,1,0
2604521,1,0,1,1,4,0,0,263941,263941,0.10133955533474294,1.5357910341287323e-06,1,0
2605439,2,2,0,2,2,0,0,292576,292576,0.11229431969046291,1.5352499137381454e-06,1,0
2630609,1,0,1,1,2,0,0,526041,526041,0.19996928467894698,7.6028022408499329e-07,1,0
2631071,1,0,1,1,4,0,0,70289,70289,0.02671497652476881,1.5202934470411479e-06,1,0
2631743,2,2,0,2,0,0,0,-1,-1,,0,1,0
2639071,2,2,0,2,2,0,0,430617,430617,0.16316991850541346,1.5156848754732253e-06,1,0
2644139,1,0,1,1,0,0,0,-1,-1,,0,1,0
2649011,2,2,0,2,0,0,0,-1,-1,,0,1,0
2663429,2,2,0,2,0,0,0,-1,-1,,0,1,0
2679587,2,2,0,2,2,0,0,537773,537773,0.20069249477624723,1.4927673555663616e-06,1,0
2685461,2,2,0,2,0,0,0,-1,-1,,0,1,0
2687329,2,2,0,2,2,0,0,109554,109554,0.040766872980569184,1.4884668010504109e-06,1,0
