X,rep,seed,F3,ordered_primitive_signed_total,ordered_primitive_abs_mass,triple_top1_abs_share,triple_top5_abs_share,triple_top10_abs_share,triple_participation_ratio,max_load,rows_K_ge_3
64,41,731740041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,42,731740042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,43,731740043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,44,731740044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,45,731740045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,46,731740046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,47,731740047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,48,731740048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,49,731740049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,50,731740050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,51,731740051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,52,731740052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,53,731740053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,54,731740054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,55,731740055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,56,731740056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,57,731740057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,58,731740058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,59,731740059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,60,731740060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,61,731740061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,62,731740062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,63,731740063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
128,0,732380000,90.0,39.71003077828971,135.32754832900434,0.043982574602975805,0.21720526536471618,0.43172697612268063,35.32583772314672,4.0,12.0
128,1,732380001,54.0,5.129931081173877,99.1961467277743,0.059554074456888206,0.2947109234493572,0.5294100287635994,31.79076139130128,3.0,9.0
128,2,732380002,66.0,18.167686455174685,109.76670043991176,0.05345093398993508,0.2653315931375298,0.5257898795726899,32.01383526338861,3.0,11.0
128,3,732380003,60.0,2.359328432612223,110.89648966704607,0.052320187556349644,0.26060668583947855,0.5106375253161567,36.714747587631685,3.0,10.0
128,4,732380004,54.0,12.324139639342228,93.60641508897237,0.06346108109340907,0.3130847980172348,0.5609845043286925,28.373035785379976,3.0,9.0
128,5,732380005,48.0,-1.1495923168419637,94.92088881731124,0.06246756659990201,0.3091742644059823,0.5029068298543239,31.95878198286584,3.0,8.0
128,6,732380006,24.0,-15.521534538231744,63.71624660519791,0.09171761949124503,0.3696722934161807,0.41116643059259605,29.1778338101321,3.0,4.0
128,7,732380007,42.0,-2.2947782271219435,85.50871715826355,0.06880800451970157,0.3412153446103331,0.4964007164481545,30.094514441632853,3.0,7.0
128,8,732380008,54.0,1.3382791646948053,102.0330978110175,0.05774716801035473,0.2850454085285764,0.5124317483563109,33.676806817121204,4.0,6.0
128,9,732380009,48.0,0.19576962056847544,92.6667738217272,0.0635064959838447,0.314082350303541,0.5099180144693904,31.14200705493121,3.0,8.0
128,10,732380010,84.0,29.67709323809954,130.34779037207375,0.04487116504414056,0.22374449323310514,0.44468339867422174,36.19464097178818,4.0,11.0
128,11,732380011,42.0,-1.923870944561199,85.16796033453703,0.06983526853523968,0.345225676009284,0.5022853418931339,28.977326697594528,3.0,7.0
128,12,732380012,78.0,31.812040368974667,120.30808551365296,0.04918357140629445,0.24421003787063184,0.48345520944997683,32.629236556884194,4.0,10.0
128,13,732380013,36.0,-12.112634204631417,82.29191859369902,0.07145247487166399,0.354040238733814,0.45333487814496953,31.715530536729467,3.0,6.0
128,14,732380014,72.0,17.93435167590541,119.58583813227891,0.049171306104736405,0.2441780604192417,0.4830693250176433,35.21152299134715,4.0,6.0
128,15,732380015,48.0,-0.5242911905747089,91.94598521413162,0.06383354890666414,0.3132766112935104,0.5101806075440533,31.390281612390545,3.0,8.0
128,16,732380016,54.0,11.67571479552846,94.58988107671411,0.062147437023391594,0.30900490214374843,0.5574789390683923,28.655433935523217,4.0,6.0
128,17,732380017,60.0,9.072284704973747,105.02494444906594,0.05633570165697864,0.27883832634189865,0.5431255402294898,32.6912856862291,3.0,10.0
128,18,732380018,84.0,29.100616927589066,133.19219126017157,0.0444823978108993,0.22083154484298745,0.4377868806149339,36.80984027769791,3.0,14.0
128,19,732380019,60.0,12.198014335419918,104.35646369333556,0.05653607743679033,0.2814490344035827,0.5538862575094692,31.499065523623567,4.0,7.0
128,20,732380020,42.0,-7.357843640961568,89.57989059135909,0.06592738032192727,0.32592073477003536,0.47450149282536574,32.333821718867846,3.0,7.0
128,21,732380021,48.0,2.524102296168783,91.23532768449306,0.06458644528426517,0.32072734280469106,0.5242007932239844,29.67910263377599,3.0,8.0
128,22,732380022,132.0,83.53754389089859,167.26751451375733,0.0350589312562013,0.17355788205426317,0.344375996773803,39.335174128657954,5.0,10.0
128,23,732380023,36.0,-14.360158558856549,83.55081253431548,0.13964969333802416,0.4137006025668326,0.4474163633368932,25.01703176036883,3.0,6.0
128,24,732380024,66.0,11.761694409057972,115.97232262925807,0.05082796742734363,0.2521796546802648,0.5008054141156997,35.08384597029711,3.0,11.0
128,25,732380025,84.0,28.87875738627463,131.3502375101652,0.04493054854616983,0.22200925547033998,0.4395702489321847,36.666761737862736,4.0,11.0
128,26,732380026,36.0,-13.508831459242435,83.84745120771113,0.07040187252596185,0.34767463702928264,0.4423846884354807,32.70077098125434,3.0,6.0
128,27,732380027,54.0,6.034263677477166,98.56643537509986,0.059745119673926775,0.29682008269793536,0.5368224126015754,31.110079953277324,3.0,9.0
128,28,732380028,78.0,30.010023286278606,120.27272360188879,0.049163179701368714,0.24365494245475072,0.48343405304616693,32.684645106880176,4.0,10.0
128,29,732380029,72.0,25.684055316495975,112.33780914399256,0.05249734819371957,0.2593109762623195,0.5129947039873064,31.240742824074605,4.0,9.0
128,30,732380030,84.0,32.92837685770763,129.16463987847072,0.04596436417424966,0.22690743981849057,0.45136161208156367,34.683849903885346,4.0,11.0
128,31,732380031,42.0,2.2095938418105967,81.41299868075032,0.07278145268352175,0.36104652775662327,0.5241030970685617,26.745312901165526,3.0,7.0
128,32,732380032,36.0,-17.221057460970204,86.50302556936118,0.0673751819228553,0.3343067124919692,0.43249822031517404,35.603622766386586,3.0,6.0
128,33,732380033,42.0,-13.901512863986044,94.91778581839127,0.06234323578176252,0.3081210246184327,0.44365910586418034,36.5758413091582,3.0,7.0
128,34,732380034,30.0,-13.993714172626552,70.67906087206248,0.08173096731501758,0.3954360513674339,0.42982968718899667,30.085728304533397,3.0,5.0
128,35,732380035,36.0,-11.814182545486037,80.68793203731715,0.07327472565654441,0.3563257410515861,0.45115209838448916,31.517495202,3.0,6.0
128,36,732380036,60.0,2.476230711367318,112.39639837611169,0.05266011765639398,0.2593221535040262,0.5110156141439742,36.584613478867574,4.0,7.0
128,37,732380037,66.0,11.103487497447768,115.92903238120181,0.05101490917398197,0.2531568135167385,0.4976008323752955,35.56489900993215,4.0,8.0
128,38,732380038,66.0,22.065981634771507,108.76764615993072,0.05472981126965005,0.27202911040102123,0.541390466504829,30.207186793003046,4.0,8.0
128,39,732380039,36.0,-14.88663065275244,82.00104909879057,0.07093745046300405,0.34143959888155856,0.43219486520871253,34.48257222218015,3.0,6.0
