X,set_label,p,q,r,M,rank,k,conjugate_k,a_mod_p,b_mod_q,c_mod_r,pair_contribution,abs_pair_contribution,hp_80_140_delta,cumulative_signed,cumulative_over_C,unseen_single_mode_bound,ranking_inclusion_margin,ranking_certified_tolerance
32,actual,37,41,61,92537,11,18,92519,21,9,13,0.0400082756644485228320854907257706307256746059,0.0400082756644485199037930556187347974628210068,4.6973183e-82,-0.131753209180964281355130651718354783952236176,1.393058354430860568129447,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,12,21,92516,6,31,5,0.0398107406325756417369938431693158922454067941,0.0398107406325756418841166350830462761223316193,3.5189626e-81,-0.0919424685483886394710140166353085078299045563,0.9721298231332540229487904,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,59,89503,1,16,89487,17,18,6,0.106015889668503709363064353216563983208643578,0.106015889668503712761626900373812532052397728,1.1799488e-80,0.106015889668503712761626900373812532052397728,-1.198073254166677870102831,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,2,4,89499,32,25,31,-0.0974246064596495712528441638661420138498778719,0.0974246064596495653375995971146039664745330811,7.6057152e-82,0.00859128320885414221985687532878728234209120274,-0.09708909356591821637749717,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,3,23,89480,36,31,16,-0.0895053054921529454299846284793688966425116493,0.0895053054921529506193778047418163623660802841,2.9822092e-80,-0.0809140222832988031953505014826077967882156372,0.914399966719961265759764,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,4,19,89484,4,6,44,0.0856454562830413147078108641035821833501085516,0.0856454562830413212992652916000224649906158447,2.6382898e-80,0.00473143399974251116502088621018629055470228195,-0.0534693860200699463969265,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,5,5,89498,3,21,24,-0.0742031442347389088419340055000387750099780278,0.0742031442347389075253616397276346106082201004,4.0392944e-81,-0.069471710234996403299234657424676697701215744,0.785091727419555907019344,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,6,3,89500,24,29,38,0.0711216807700917636588558331977550262228173617,0.071121680770091760814821668645890895277261734,6.6030121e-82,0.00164997053509536033451265968352572599542327225,-0.01864612535386869079934158,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,7,7,89496,19,13,10,-0.0642835934395303338308008737006286216907970411,0.0642835934395303287836043182323919609189033508,1.5796348e-81,-0.0626336229044349712680173070111777633428573608,0.7078152968201569805728468,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,8,21,89482,20,39,30,-0.056588193338578541208378653062545259478688027,0.0565881933385785421131153327678475761786103249,7.9309245e-81,-0.11922181624301350644223873587179696187376976,1.347311896363439176482757,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,9,20,89483,12,2,37,-0.0546523166303917486307216369878452955507428433,0.0546523166303917520836286314533936092630028725,1.1125858e-80,-0.173874132873405251586973463417962193489074707,1.96493137810206941473723,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,10,12,89491,22,34,34,-0.0349354339704383216924844960948535208216710309,0.0349354339704383218268013422402873402461409569,1.1707796e-80,-0.208809566843843580352668709565477911382913589,2.35973265924552189076735,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,11,24,89479,7,27,9,-0.0319005694242213898881469519671982349137472571,0.0319005694242213908018435120084177469834685326,1.5552092e-81,-0.240710136268064978093406125481124036014080048,2.72023728868694680826934,0.026388586184898633,0.0031411154332356902574,1
32,actual,37,41,59,89503,12,28,89475,2,11,40,0.0295297016181343244715281409755460451255366278,0.0295297016181343234542122644370465422980487347,6.1409648e-81,-0.211180434649930665047534716904920060187578201,2.386525560918275612465322,0.026388586184898633,0.0031411154332356902574,1
32,actual,41,59,61,147559,1,10,147549,8,3,46,-0.0799453429711551226703591882019865145579937932,0.079945342971155117228754249936173437163233757,5.9424769e-81,-0.079945342971155117228754249936173437163233757,1.117319081595063323675276,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,2,15,147544,12,34,8,-0.0771059160885138473958422045889219174904780793,0.0771059160885138455965304160599771421402692795,5.971852e-81,-0.157051259059668962825284665996150579303503036,2.194954227655398160123923,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,3,25,147534,20,37,54,0.0624480155953374847953529110770389104485462457,0.0624480155953374832522584370053664315491914749,5.5342129e-81,-0.0946032434643314795730262289907841477543115616,1.322178443109802037369604,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,4,18,147541,39,29,34,0.04823934250417823326346480517890779816679107,0.0482393425041782314410809817672998178750276566,3.0041805e-81,-0.046363900960153248131945247223484329879283905,0.6479836012293287428320809,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,5,11,147548,17,21,14,-0.0465779196585917684955053566504206916535527245,0.046577919658591766804978107074930449016392231,3.1701039e-81,-0.0929418206187450218758172582056431565433740616,1.298958335734172742093051,0.02638845860520431,0.0093206603346389187148,1
